item_name,min_x,min_y,min_z,max_x,max_y,max_z,width,height,depth
SFI-BLBX2,-120.1428333032975,-19.5846666617708,0,330.7511665839788,316.9763332540892,0,450.89399988727627,336.56099991586,0
SFI-BLBXOG2,-106.8080029402792,-18.08648804275485,0,316.807996953817,315.086511873952,0,423.6159998940962,333.1729999167069,0
SFI-BLSBX2,-105.8040029405305,-17.69598804285221,0,315.8039969540675,314.6960118740496,0,421.607999894598,332.3919999169018,0
SFI-BLST2,-75.51800294810178,1.752011952285061,0,285.5179969616392,295.2480118789114,0,361.035999909741,293.4959999266264,0
SFI-BWBX2,-110.7725029392883,-20.47748804215723,0,320.7724969528254,317.4775118733541,0,431.5449998921137,337.95499991551134,0
SFI-CLO2,244.8324999387923,345.4879999136275,0,755.2924998111771,654.6369998363407,0,510.4599998723848,309.1489999227132,0
SFI-DORG2,288.0636110390954,342.2779999144307,0,711.7086109331842,657.8469998355384,0,423.6449998940888,315.5689999211077,0
SFI-DTS2802,-143.1958332975343,4.524916665535345,0,353.8041665782153,294.195916593118,0,496.9999998757496,289.67099992758267,0
SFI-DTS2DHT2,-63.87222220625393,32.69583332515944,0,274.1277777092459,264.6958332671596,0,337.9999999154998,231.9999999420002,0
SFI-DTS2T2,-123.7582221912829,-3.529166665784334,0,334.013777694274,300.9208332581031,0,457.77199988555685,304.4499999238874,0
SFI-DTS3002,-141.753833297895,4.69583333215939,0,352.3621665785762,292.6958332601594,0,494.11599987647116,287.999999928,0
SFI-DTSB2,167.2519444026312,110.1708888613459,0,606.0369442929357,426.7568887821997,0,438.78499989030445,316.58599992085385,0
SFI-DTSD2,-77.20183331403243,-2.097666666141673,0,287.8101665947146,299.4893332584614,0,365.01199990874704,301.58699992460305,0
SFI-DTSDXL12,-222.5000029113563,-91.99998802427696,0,432.4999969248937,389.0000118554731,0,654.99999983625,480.99999987975,0
SFI-DTSO2,-115.6442221933111,-2.713055554877132,0,325.8997776963028,299.7519443695063,0,441.54399988961393,302.46499992438345,0
SFI-DTSRTB2,-145.9723332968403,-19.39905555070605,0,356.5806665775216,316.4379443653349,0,502.5529998743619,335.83699991604095,0
SFI-DTSYS2CB2,-69.59383331593459,33.65044443603186,0,280.2021665966165,263.3884443785973,0,349.7959999125511,229.7379999425654,0
SFI-DTSYS2FO-01,-11.69074744962174,-37.54245210897607,0,223.2532524916423,308.4575478045242,0,234.94399994126402,345.9999999135003,0
SFI-DTSYS2FO-02,-11.69074744962174,-37.54245210897607,0,223.2532524916423,308.4575478045242,0,234.94399994126402,345.9999999135003,0
SFI-DTSYS2FO-03,80.88827775755557,-6.237055553996216,0,129.3672777454358,303.2759443686257,0,48.47899998788024,309.51299992262193,0
SFI-DTSYS2HO2,-71.5837222043265,32.13633332529899,0,281.8392777073182,265.2553332670198,0,353.42299991164475,233.1189999417208,0
SFI-DTSYS2RTB2,-158.7103332936557,-31.68716665874498,0,369.3186665743369,329.0788332510638,0,528.0289998679925,360.7659999098088,0
SFI-DTSYS2TB2,-148.8722221850041,-11.30416666384082,0,359.1277776879958,308.6958332561589,0,507.99999987299987,319.9999999199997,0
SFI-DTSYSA2,-48.16099998795984,87.52244442256358,0,448.2109998879473,412.7164443412656,0,496.37199987590714,325.19399991870205,0
SFI-DTSYSB2,-146.2480029304191,-4.683488046105449,0,356.2479969439569,301.6835118773029,0,502.49599987437597,306.36699992340834,0
SFI-DTSYSD2,-131.1280029341991,-3.519488046396598,0,341.1279969477369,300.5195118775937,0,472.25599988193596,304.0389999239903,0
SFI-DTSYSD3,-131.1280029341991,-3.519488046396598,0,341.1279969477369,300.5195118775937,0,472.25599988193596,304.0389999239903,0
SFI-DTSYSO2,-134.6915029333082,-0.0849880472551526,0,344.6914969468462,297.0850118784523,0,479.3829998801544,297.16999992570743,0
SFI-EECL2,-102.9184493200905,14.86013882671547,0,319.0815505744098,285.8601387589655,0,421.9999998945003,270.99999993225003,0
SFI-EECS2,-111.0402221944622,2.090944443921404,0,321.2957776974536,294.9479443707074,0,432.33599989191583,292.856999926786,0
SFI-FSOR13,-78.5237222025914,4.669333332165785,0,288.7792777055831,292.7223332601526,0,367.3029999081745,288.05299992798683,0
SFI-FSPBO2-01,2.999997032268784,-27.52898804039483,0,206.9999969812689,324.529011871591,0,203.9999999490001,352.05799991198586,0
SFI-FSPBO2-02,74.85299701430571,-25.51448804089864,0,135.146996999232,322.5145118720945,0,60.29399998492627,348.02899991299313,0
SFI-FSPBO2-03,2.999997032268784,-27.52898804039483,0,206.9999969812689,324.529011871591,0,203.9999999490001,352.05799991198586,0
SFI-FSPD2,-16.79861110691121,97.79583330888472,0,417.2013887845886,402.795833232634,0,433.9999998914998,304.9999999237493,0
SFI-FSPDO2-01,27.78149999305896,192.8854999517797,0,581.81849985455,416.7144998958222,0,554.036999861491,223.8289999440425,0
SFI-FSPDO2-02,29.62349999259919,242.2999999394261,0,579.976499855011,367.2999999081763,0,550.3529998624118,124.99999996875019,0
SFI-FSPMB2,-149.581002929586,-26.25198804071334,0,359.5809969431237,323.2520118719104,0,509.16199987270966,349.5039999126237,0
SFI-FSPRB2,-271.9476606067622,236.4118964722473,0,280.0263392552444,580.4868963862284,0,551.9739998620066,344.0749999139811,0
SFI-FSPSO2,-74.78450294828511,42.72951194204138,0,284.7844969618228,254.270511889156,0,359.5689999101079,211.54099994711464,0
SFI-FSPTB2,-167.1630029251907,-25.46698804090972,0,377.1629969387281,322.4670118721072,0,544.3259998639188,347.9339999130169,0
SFI-FSYS12,-97.20422219792125,-1.730166666233848,0,307.4597777009127,299.121833258553,0,404.66399989883394,300.85199992478687,0
SFI-FSYS3L2,-153.4670029286146,-7.107488045499462,0,363.4669969421517,304.1075118766969,0,516.9339998707662,311.21499992219634,0
SFI-FSYS3XXL,-297.5757221478285,-149.2090890925325,0,507.8312776508201,155.7959108312165,0,805.4069997986486,305.004999923749,0
SFI-FSYSM2,-34.32100295840044,57.27951193840395,0,244.3209969719388,239.7205118927938,0,278.64199993033924,182.44099995438987,0
