sku,type,name,stock_available,stock_open,weight_kg,stock_level_available,stock_level_open,stockwarn,syncstock,productweight,updated_at
SFS-100/50/30K,1,"[BLACK 30] Medium Sheet",,,,299,1,,,,2025-03-26 10:15:16
0604565344946,1,"[BLACK 30] Retail Pack",,,,313,10,,,,2025-03-25 12:09:21
SFI-MTBS330K,1,"[Black 30mm Triple Pack] Magnusson Full Stack Pack Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-FSOR1330K,1,"[BLACK 30mm TRIPLE PACK] Sortainer Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-CLO230K,1,"[BLACK 30mm TWIN PACK] Erbauer Connecx Organiser Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-BLBXOG230K,1,"[BLACK 30mm Twin Pack] L-Boxx GEN 1 Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-BLBX230K,1,"[BLACK 30mm Twin Pack] L-Boxx GEN 2 Inserts",,,,300,0,,,,2025-03-25 00:06:07
SFI-BLSBX230K,1,"[BLACK 30mm Twin Pack] LS-Boxx Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-BLST230K,1,"[BLACK 30mm Twin Pack] LS-Tray Inserts",,,,300,0,,,,2025-03-15 00:07:52
SFI-MTC230K,1,"[BLACK 30mm Twin Pack] Magnusson Base Foam Inserts",,,,302,0,,,,2025-03-15 00:06:11
SFI-MTCB230K,1,"[BLACK 30mm Twin Pack] Magnusson Middle Foam Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-MTO230K,1,"[BLACK 30mm Twin Pack] Magnusson Top Foam Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-MMBX230K,1,"[BLACK 30mm Twin Pack] Metabox Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-OXTTC230K,1,"[BLACK 30mm TWIN PACK] OX TOOLTREK Cart Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-OXTTTC230K,1,"[BLACK 30mm TWIN PACK] OX TOOLTREK Chest Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-OXTTO230K,1,"[BLACK 30mm TWIN PACK] OX TOOLTREK Organiser Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-DORG230K,1,"[BLACK 30mm Twin Pack] Pro Organiser Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-RCM230K,1,"[BLACK 30mm TWIN PACK] Reisser Crate Mate Inserts",,,,300,0,,,,2025-03-15 00:07:52
SFI-RLD230K,1,"[BLACK 30mm TWIN PACK] Ryobi LINK Drawer Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-DTSYS2HO230K,1,"[BLACK 30mm Twin Pack] ToughSystem 2.0 Half Width Organiser Inserts",,,,300,0,,,,2025-03-18 00:06:19
